car_type,year,price,km,photo_url,prediccion
TESLA - MODEL 3,2022,33990,57676,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/3dfc9ea4-a183-42c8-8a44-9a10c897f0e5?rule=hw396_70,malo
TESLA - MODEL 3,2019,25000,155000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/8552e330-c410-4c20-96c4-d8acf392db15?rule=hw396_70,bueno
TESLA - MODEL 3,2020,24850,116000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/4f09095a-dc0c-4ca1-8f94-bae08532fb59?rule=hw396_70,bueno
TESLA - MODEL 3,2025,40000,800,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/fc61d88a-1541-4e8a-8c60-fab38b504c51?rule=hw396_70,neutral
TESLA - MODEL 3,2019,28500,100100,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/9ea650ab-b368-4131-9ca7-d8c849f3e0ac?rule=hw396_70,bueno
TESLA - MODEL 3,2022,37000,28000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/8555b2e8-71d3-4924-985e-58654314cc36?rule=hw396_70,neutral
TESLA - MODEL 3,2019,19500,162000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/9dc0300f-3725-40f5-ac07-86d3d8e85496?rule=hw396_70,malo
TESLA - MODEL 3,2025,25970,10,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/fefdbbdb-baca-4f99-90c1-b644134c8ee1?rule=hw396_70,malo
TESLA - MODEL 3,2020,24850,116000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/adce200c-6330-44ea-8f75-89e4ed1edae4?rule=hw396_70,bueno
TESLA - MODEL 3,2021,30900,68000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/674e2370-622f-4a2b-9dd6-2c050926a1db?rule=hw396_70,bueno
TESLA - MODEL 3,2021,28990,60000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/2ffd3214-e111-4c96-a089-aac3e739b464?rule=hw396_70,bueno
TESLA - MODEL S,2018,25900,169500,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/8b8acc7f-1010-4aac-96c2-e56e471c2a53?rule=hw396_70,neutral
TESLA - MODEL 3,2023,39900,50000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/c78b8040-d8e7-40f5-ab31-0bb42f71ea24?rule=hw396_70,bueno
TESLA - MODEL 3,2020,24000,79000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/87703521-5613-42b7-b94c-83e5dd19fcf3?rule=hw396_70,neutral
TESLA - MODEL 3,2019,22900,117000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/d0f75548-befc-48b1-891e-f713f1d75e85?rule=hw396_70,neutral
TESLA - MODEL 3,2019,22100,98215,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/48212d59-91ca-40de-97aa-4c916d507cbb?rule=hw396_70,bueno
TESLA - MODEL 3,2020,19700,70000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/15e104ad-24c1-4634-9ffa-1fed2bf3f0b8?rule=hw396_70,bueno
TESLA - MODEL 3,2022,30770,40510,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/520c3caa-50bb-4dec-bdf4-5ee8cc4b16ec?rule=hw396_70,bueno
TESLA - MODEL 3,2019,29900,55500,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/ac7b4074-491e-4663-b5bd-4cebbbe68aa0?rule=hw396_70,malo
TESLA - MODEL 3,2020,27500,23000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/b918192c-f244-4b27-a94e-678e98e4e0d2?rule=hw396_70,bueno
TESLA - MODEL 3,2019,22499,150245,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/633c31da-2629-4460-af27-66ff4482272d?rule=hw396_70,neutral
TESLA - MODEL 3,2019,25990,103487,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/936bc2f3-4be2-4e5b-8280-c36a0140a059?rule=hw396_70,bueno
TESLA - MODEL 3,2023,34799,56430,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/bbb2679d-884d-466c-abfc-0927c694f282?rule=hw396_70,bueno
TESLA - MODEL 3,2020,25990,79605,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/fcb26daf-3cea-4a19-a9c7-fe6fe408f842?rule=hw396_70,bueno
TESLA - MODEL 3,2023,31000,49000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/ab729d54-189f-4e92-972e-6cbf893a3e87?rule=hw396_70,malo
