car_type,year,price,km,prediccion,color
BMW - SERIE 3,2024.0,47490.0,20719.0,neutral,white
BMW - SERIE 1,2020.0,22990.0,84635.0,neutral,red
BMW - SERIE 2,2022.0,25490.0,99602.0,neutral,grey
BMW - SERIE 4,2024.0,47990.0,17645.0,neutral,black
BMW - SERIE 2,2019.0,19490.0,93303.0,neutral,beige
BMW - X1,2019.0,22990.0,57023.0,neutral,white
AUDI - A1,2018.0,14790.0,116993.0,neutral,red
BMW - SERIE 3,2020.0,40490.0,84690.0,neutral,tan
BMW - X3,2021.0,30790.0,81000.0,neutral,blue
BMW - SERIE 2,2019.0,18490.0,112000.0,neutral,black
BMW - X2,2023.0,29990.0,22801.0,neutral,red
AUDI - A3,2023.0,25690.0,18741.0,neutral,grey
AUDI - A3,2020.0,23690.0,84261.0,neutral,black
AUDI - Q2,2020.0,21490.0,122294.0,neutral,grey
BMW - SERIE 3,2022.0,30990.0,100788.0,neutral,grey
AUDI - A3,2021.0,21290.0,63961.0,neutral,tan
BMW - SERIE 1,2024.0,31990.0,15154.0,neutral,beige
BMW - SERIE 2,2020.0,28990.0,32483.0,neutral,tan
AUDI - Q2,2023.0,30980.0,38292.0,neutral,tan
AUDI - A7,2020.0,45590.0,109680.0,neutral,brown
AUDI - A1,2015.0,13490.0,105900.0,neutral,beige
BMW - X1,2020.0,25990.0,93000.0,neutral,blue
AUDI - A6,2016.0,19990.0,123000.0,neutral,tan
BMW - X5,2019.0,31990.0,83955.0,neutral,black
BMW - SERIE 2,2019.0,18490.0,73093.0,neutral,red
BMW - SERIE 1,2016.0,13490.0,138924.0,neutral,blue
AUDI - A1,2015.0,12290.0,73265.0,neutral,blue
AUDI - Q2,2020.0,20290.0,112004.0,neutral,blue
BMW - X4,2021.0,32790.0,100264.0,neutral,red
BMW - SERIE 2,2016.0,12490.0,165118.0,neutral,tan
AUDI - A3,2019.0,20790.0,133850.0,neutral,black
AUDI - A3,2020.0,21990.0,146371.0,neutral,grey
AUDI - Q2,2020.0,21190.0,112853.0,neutral,white
BMW - SERIE 4,2024.0,45990.0,25000.0,neutral,grey
BMW - X1,2020.0,28990.0,66000.0,neutral,red
AUDI - Q5,2021.0,40390.0,25000.0,neutral,red
AUDI - Q5,2017.0,19490.0,131555.0,neutral,black
AUDI - A1,2019.0,18190.0,79700.0,neutral,blue
BMW - SERIE 1,2022.0,21890.0,128000.0,malo,blue
BMW - X2,2021.0,25290.0,51540.0,neutral,blue
BMW - X3,2024.0,54990.0,9800.0,neutral,blue
BMW - SERIE 1,2021.0,20790.0,45000.0,neutral,red
BMW - SERIE 1,2022.0,24890.0,52810.0,neutral,blue
AUDI - A5,2017.0,36990.0,129881.0,neutral,black
BMW - SERIE 2,2019.0,17990.0,154160.0,neutral,red
AUDI - Q3,2020.0,36990.0,97000.0,neutral,blue
AUDI - A3,2019.0,45990.0,81862.0,neutral,grey
AUDI - Q3,2019.0,29590.0,93540.0,neutral,green
AUDI - Q2,2018.0,19990.0,102200.0,neutral,blue
AUDI - Q5,2021.0,31290.0,117419.0,neutral,black
AUDI - A5,2021.0,27990.0,103271.0,neutral,red
BMW - X3,2019.0,35490.0,116939.0,neutral,white
AUDI - Q3,2017.0,21590.0,92169.0,neutral,blue
BMW - SERIE 1,2021.0,19490.0,76810.0,neutral,blue
AUDI - Q3,2022.0,32590.0,55000.0,neutral,grey
BMW - SERIE 1,2021.0,19490.0,75000.0,neutral,white
BMW - SERIE 1,2022.0,19490.0,69559.0,neutral,black
AUDI - A5,2018.0,23490.0,92239.0,neutral,black
AUDI - A4,2022.0,27990.0,82761.0,neutral,white
BMW - X6,2019.0,47890.0,179268.0,neutral,beige
AUDI - A1,2021.0,20490.0,114473.0,neutral,red
BMW - X1,2020.0,24490.0,76830.0,neutral,black
BMW - X6,2015.0,47990.0,154120.0,neutral,red
AUDI - A6,2016.0,35490.0,119840.0,neutral,black
BMW - X1,2021.0,24790.0,30940.0,neutral,white
BMW - X1,2023.0,34990.0,27854.0,neutral,blue
AUDI - Q5,2022.0,62990.0,81549.0,neutral,blue
BMW - X2,2018.0,19990.0,126765.0,neutral,black
BMW - SERIE 1,2024.0,31490.0,25006.0,neutral,brown
BMW - SERIE 1,2018.0,20990.0,49000.0,neutral,beige
BMW - X5,2017.0,33790.0,124062.0,neutral,red
AUDI - Q2,2020.0,22990.0,54835.0,neutral,blue
AUDI - A3,2019.0,18990.0,73055.0,neutral,grey
AUDI - Q3,2019.0,26690.0,75962.0,neutral,blue
AUDI - Q5,2017.0,24990.0,165363.0,neutral,tan
BMW - Z4,2022.0,37990.0,59999.0,neutral,blue
AUDI - A1,2020.0,18490.0,79717.0,neutral,tan
AUDI - Q3,2020.0,34590.0,64582.0,neutral,tan
AUDI - Q2,2023.0,26790.0,51965.0,neutral,blue
BMW - SERIE 1,2018.0,18965.0,74200.0,neutral,blue
AUDI - Q3,2018.0,18290.0,147122.0,neutral,blue
AUDI - A1,2016.0,12990.0,152168.0,neutral,blue
BMW - SERIE 3,2018.0,19690.0,108304.0,neutral,blue
AUDI - Q2,2023.0,31990.0,72306.0,neutral,blue
AUDI - Q3,2019.0,23890.0,125000.0,neutral,black
AUDI - A3,2021.0,27990.0,64686.0,neutral,blue
AUDI - Q2,2019.0,22790.0,58000.0,neutral,grey
AUDI - A3,2022.0,28390.0,45182.0,neutral,tan
AUDI - A7,2018.0,48390.0,121172.0,neutral,blue
AUDI - Q3,2021.0,29990.0,128726.0,neutral,blue
BMW - X1,2024.0,48490.0,9532.0,neutral,white
AUDI - Q3,2015.0,21980.0,91549.0,neutral,black
AUDI - A5,2016.0,17990.0,160000.0,neutral,black
AUDI - Q3,2017.0,19990.0,111689.0,neutral,grey
BMW - SERIE 1,2020.0,22990.0,94172.0,neutral,grey
BMW - SERIE 1,2021.0,21490.0,42784.0,neutral,black
BMW - SERIE 3,2019.0,20990.0,167000.0,neutral,grey
BMW - SERIE 4,2019.0,26990.0,116165.0,neutral,black
AUDI - A4,2016.0,19790.0,94778.0,neutral,beige
AUDI - A1,2020.0,17990.0,81277.0,neutral,tan
AUDI - A3,2017.0,14970.0,138512.0,neutral,black
BMW - X1,2020.0,23990.0,80270.0,neutral,blue
